algoritmo,tipo_entrada,tamanho,tempo
merge,sorted,1000,0.000034
merge,sorted,10000,0.000554
merge,sorted,100000,0.004759
merge,sorted,500000,0.018898
merge,sorted,1000000,0.036834
merge,sorted,5000000,0.192823
merge,sorted,10000000,0.393909
merge,sorted,50000000,2.178830
merge,sorted,100000000,4.589945
merge,random,1000,0.000069
merge,random,10000,0.000783
merge,random,100000,0.009227
merge,random,500000,0.047993
merge,random,1000000,0.103700
merge,random,5000000,0.544039
merge,random,10000000,1.122948
merge,random,50000000,6.072064
merge,random,100000000,12.775481
merge,desc,1000,0.000044
merge,desc,10000,0.000326
merge,desc,100000,0.003632
merge,desc,500000,0.019190
merge,desc,1000000,0.041697
merge,desc,5000000,0.217380
merge,desc,10000000,0.442561
merge,desc,50000000,2.312451
merge,desc,100000000,4.504610
merge3,sorted,1000,0.000018
merge3,sorted,10000,0.000162
merge3,sorted,100000,0.001900
merge3,sorted,500000,0.011131
merge3,sorted,1000000,0.022662
merge3,sorted,5000000,0.119128
merge3,sorted,10000000,0.230313
merge3,sorted,50000000,1.286057
merge3,sorted,100000000,2.756135
merge3,random,1000,0.000031
merge3,random,10000,0.000250
merge3,random,100000,0.002735
merge3,random,500000,0.016198
merge3,random,1000000,0.029615
merge3,random,5000000,0.164263
merge3,random,10000000,0.306179
merge3,random,50000000,1.789736
merge3,random,100000000,3.717634
merge3,desc,1000,0.000017
merge3,desc,10000,0.000148
merge3,desc,100000,0.001915
merge3,desc,500000,0.010158
merge3,desc,1000000,0.021065
merge3,desc,5000000,0.111222
merge3,desc,10000000,0.227876
merge3,desc,50000000,1.219151
merge3,desc,100000000,2.538203
